04/11/2019 17:30:7,0,0,3549,5632,5539
04/11/2019 17:45:6,0,0,2923,4639,4562
04/11/2019 18:00:6,0,0,933,1481,1456
04/11/2019 18:15:6,0,0,725,1151,1132
04/11/2019 18:30:6,1,1,534,847,833
04/11/2019 18:45:6,1,1,471,747,735
04/11/2019 19:00:6,1,1,457,726,714
04/11/2019 19:15:7,1,1,445,706,694
04/11/2019 19:30:6,2,2,340,539,530
04/11/2019 19:45:6,4,5,248,393,387
04/11/2019 20:00:7,6,7,216,343,338
04/11/2019 20:15:5,10,10,185,293,288
04/11/2019 20:30:6,18,19,148,235,231
04/11/2019 20:45:6,39,41,112,178,175
04/11/2019 21:00:7,33409376,34984559,1,1,1
04/11/2019 21:15:6,127,133,73,116,114
04/11/2019 21:30:5,98018980,102640372,1,1,1
04/11/2019 21:45:5,236,247,58,93,91
04/11/2019 22:00:6,305,319,53,85,83
04/11/2019 22:30:6,417,436,48,76,74
04/11/2019 22:45:6,483,506,45,72,70
04/11/2019 23:00:6,494,517,45,71,70
04/11/2019 23:15:5,417,436,48,76,74
04/11/2019 23:30:6,357,374,50,80,78
04/11/2019 23:45:6,290,304,54,86,85
05/11/2019 00:00:7,269,281,56,88,87
05/11/2019 00:15:6,212,222,61,96,95
05/11/2019 00:30:6,192,201,63,100,98
05/11/2019 00:45:5,176,185,65,103,101
05/11/2019 01:00:7,176,185,65,103,101
05/11/2019 01:15:5,152,160,68,109,107
05/11/2019 01:30:6,2817073,2949892,2,3,3
05/11/2019 01:45:5,135,141,71,113,112
05/11/2019 02:00:7,133,139,72,114,112
05/11/2019 02:15:6,131,137,72,115,113
05/11/2019 02:30:6,30387859,31820584,1,1,1
05/11/2019 02:45:6,127,133,73,116,114
05/11/2019 03:00:12,143,150,70,111,109
05/11/2019 03:15:6,113,119,76,121,119
05/11/2019 03:30:6,113,119,76,121,119
05/11/2019 03:45:6,110,115,77,122,120
05/11/2019 04:00:7,113,119,76,121,119
05/11/2019 04:15:6,103,108,79,125,123
05/11/2019 04:30:6,99,104,80,127,125
05/11/2019 04:45:5,93,97,82,130,128
05/11/2019 05:00:7,96,101,81,128,126
05/11/2019 05:15:6,8676795,9085888,1,2,2
05/11/2019 05:30:6,633,663,41,65,64
05/11/2019 05:45:6,59,62,96,153,151
05/11/2019 06:00:7,70,73,91,144,142
05/11/2019 06:15:5,71,75,90,143,141
05/11/2019 06:30:6,74,77,89,141,139
05/11/2019 06:45:5,79,83,87,137,135
05/11/2019 07:00:7,85,89,84,134,132
05/11/2019 07:15:6,78,82,87,138,136
05/11/2019 07:30:5,74,77,89,141,139
05/11/2019 07:45:6,64,67,94,149,146
05/11/2019 08:00:7,65,68,93,148,145
05/11/2019 08:15:6,54,57,99,158,155
05/11/2019 08:30:6,32,33,121,191,188
05/11/2019 08:45:6,32,34,120,190,187
05/11/2019 09:00:7,19,20,145,230,226
05/11/2019 09:15:6,4,4,256,406,400
05/11/2019 09:30:6,7,7,208,329,324
05/11/2019 09:45:6,16,16,156,247,243
05/11/2019 10:00:6,25,26,132,209,206
05/11/2019 10:15:5,78,82,87,138,136
05/11/2019 10:30:5,50,53,102,162,159
05/11/2019 10:45:6,1783009,1867074,2,4,4
05/11/2019 11:00:7,30,31,124,196,193
05/11/2019 11:15:6,7,7,210,334,328
05/11/2019 11:30:6,12,12,172,273,268
05/11/2019 11:45:6,1099346,1151178,3,4,4
05/11/2019 12:00:7,7,7,208,329,324
05/11/2019 12:15:6,6,6,226,359,353
05/11/2019 12:30:5,4,4,256,406,400
05/11/2019 12:45:6,4,4,260,413,406
05/11/2019 13:00:6,3,4,269,428,421
05/11/2019 13:15:6,2,2,340,539,530
05/11/2019 13:30:6,114355,119746,6,10,10
05/11/2019 13:45:5,166,174,66,105,103
05/11/2019 14:00:7,1,1,390,619,609
05/11/2019 14:15:6,2,2,333,528,519
05/11/2019 14:30:6,131677,137885,6,9,9
05/11/2019 14:45:6,2,2,340,539,530
05/11/2019 15:00:6,3,3,290,460,452
05/11/2019 15:15:5,2,2,333,528,519
05/11/2019 15:30:6,3,4,269,428,421
05/11/2019 15:45:6,3,3,279,443,436
05/11/2019 16:00:8,5,5,244,387,381
05/11/2019 16:15:6,3,3,301,477,469
05/11/2019 16:30:5,162,169,67,106,105
05/11/2019 16:45:6,2,2,313,496,488
05/11/2019 17:00:11,3,3,290,460,452
05/11/2019 17:15:5,2,2,313,496,488
05/11/2019 17:30:6,3,3,301,477,469
05/11/2019 17:45:6,2,2,347,551,542
05/11/2019 18:00:7,194625,203801,5,8,8
05/11/2019 18:15:6,163279,170977,6,9,9
05/11/2019 18:30:6,3,3,279,443,436
05/11/2019 18:45:6,3,3,279,443,436
05/11/2019 19:00:7,3,4,269,428,421
05/11/2019 19:15:6,4,4,260,413,406
05/11/2019 19:30:6,3,3,279,443,436
05/11/2019 19:45:6,2,2,355,564,554
05/11/2019 20:00:6,2,2,333,528,519
05/11/2019 20:15:5,3,3,295,468,460
05/11/2019 20:30:6,3,3,274,435,428
05/11/2019 20:45:11,3,3,301,477,469
05/11/2019 21:00:7,3,3,274,435,428
05/11/2019 21:15:6,4,4,260,413,406
05/11/2019 21:30:6,4,4,260,413,406
05/11/2019 21:45:6,2,2,319,506,498
05/11/2019 22:00:7,135474,141861,6,9,9
05/11/2019 22:15:6,327017,342435,4,7,7
05/11/2019 22:30:6,4,4,256,406,400
05/11/2019 22:45:6,4,4,260,413,406
05/11/2019 23:00:7,144461,151272,6,9,9
05/11/2019 23:15:6,4,4,256,406,400
05/11/2019 23:30:5,4,4,252,400,393
05/11/2019 23:45:6,141395,148061,6,9,9
06/11/2019 00:00:7,6,6,219,348,343
06/11/2019 00:15:6,6,7,216,343,338
06/11/2019 00:30:6,6,6,219,348,343
06/11/2019 00:45:6,6,6,226,359,353
06/11/2019 01:00:6,479325,501924,4,6,6
06/11/2019 01:15:6,6,7,216,343,338
06/11/2019 01:30:6,5,6,229,364,358
06/11/2019 01:45:6,7,7,213,339,333
06/11/2019 02:00:7,7,8,205,325,320
06/11/2019 02:15:5,8,9,194,308,303
06/11/2019 02:30:6,125309,131218,6,10,9
06/11/2019 02:45:6,8,9,194,308,303
06/11/2019 03:00:7,7,7,210,334,328
06/11/2019 03:15:6,3,4,269,428,421
06/11/2019 03:30:6,3,3,290,460,452
06/11/2019 03:45:6,3,3,274,435,428
06/11/2019 04:00:6,3,3,274,435,428
06/11/2019 04:15:6,139,146,71,112,110
06/11/2019 04:30:5,85471,89500,7,11,11
06/11/2019 04:45:6,3,3,284,451,444
06/11/2019 05:00:6,3,3,290,460,452
06/11/2019 05:15:5,3,3,279,443,436
06/11/2019 05:30:6,3,3,295,468,460
06/11/2019 05:45:5,4,4,252,400,393
06/11/2019 06:00:7,5,6,229,364,358
06/11/2019 06:15:6,86059,90117,7,11,11
06/11/2019 06:30:6,359794,376757,4,7,6
06/11/2019 06:45:6,6,7,216,343,338
06/11/2019 07:00:7,8,8,199,316,311
06/11/2019 07:15:6,6,7,216,343,338
06/11/2019 07:30:12,7,7,208,329,324
06/11/2019 07:45:7,7,7,213,339,333
06/11/2019 08:00:6,6,7,216,343,338
06/11/2019 08:15:6,98786,103444,7,10,10
06/11/2019 08:30:6,4,4,256,406,400
06/11/2019 08:45:6,6,6,223,353,348
06/11/2019 09:00:7,7,8,205,325,320
06/11/2019 09:15:6,9,10,187,297,292
06/11/2019 09:30:6,6,7,216,343,338
06/11/2019 09:45:6,10,11,182,290,285
06/11/2019 10:00:7,11,11,178,283,278
06/11/2019 10:15:7,9,10,187,297,292
06/11/2019 10:30:6,12,12,172,273,268
06/11/2019 10:45:6,11,11,178,283,278
06/11/2019 11:00:6,24,25,133,211,208
06/11/2019 11:15:8,12,12,174,276,271
06/11/2019 11:30:6,9,10,189,300,295
06/11/2019 11:45:6,12,13,170,270,265
06/11/2019 12:00:7,9,9,192,304,299
06/11/2019 12:15:6,15,16,157,250,246
06/11/2019 12:30:6,16,16,156,247,243
06/11/2019 12:45:6,16,16,156,247,243
06/11/2019 13:00:6,11,12,176,279,275
06/11/2019 13:15:6,15,15,159,252,248
06/11/2019 13:30:6,151904,159066,6,9,9
06/11/2019 13:45:6,11,11,178,283,278
06/11/2019 14:00:7,12,12,174,276,271
06/11/2019 14:15:6,13,14,166,264,259
06/11/2019 14:30:6,15,15,159,252,248
06/11/2019 14:45:6,15,15,159,252,248
06/11/2019 15:00:6,12,13,170,270,265
06/11/2019 15:15:5,10,11,182,290,285
06/11/2019 15:30:6,9,10,187,297,292
06/11/2019 15:45:6,15,15,159,252,248
06/11/2019 16:00:7,17,17,152,242,238
06/11/2019 16:15:5,13,14,166,264,259
06/11/2019 16:30:6,13,13,168,267,262
06/11/2019 16:45:5,18,19,148,235,231
06/11/2019 17:00:7,15,15,159,252,248
06/11/2019 17:15:6,12,12,172,273,268
06/11/2019 17:30:6,13,13,168,267,262
06/11/2019 17:45:6,15,15,159,252,248
